OBJECTID,INDEX_NUM,OBSERVER,SPECIES,SCIENTIFIC,TOWN,ROAD_INTER,SPECIFIC_L,COMMENTS,N_GPS_COOR,W_GPS_COOR,LAND_COVER,LAND_COV2,PROXIMITY_,LIVE_SIGHT,ROADKILL,OTHER,COUNTY_G,PLOTBY_X,PLOTBY_Y,DATE_,HOUR,LAT,LONG
193,193,EAH,Eastern gray squirrel,Sciurus carolinensis,Shandaken,Peek Hollow Rd,Peek Hollow Rd off Rt 28,,4664304.7,551508.6,Sugar Maple-Mesic,,,1,0,0,Ulster,551508.6,4664304.7,10/7/2000,1600,42.12915918,-74.37678721
194,194,EAH,White-tailed deer,Odocoileus virginianus,Shandaken,Peek Hollow Rd,"Peek Hollow Rd, off Rt 28",,4664304.7,551508.6,Sugar-Maple Mesic,,,1,0,0,Ulster,551508.6,4664304.7,10/7/2000,1600,42.12915918,-74.37678721
195,195,EAH,Virginia opossum,Didelphis virginiana,Shandaken,Rt 28,Rt 28 near Allaben,,4662782.3,552343,SNH,,,0,1,0,Ulster,552343,4662782.3,10/7/2000,1620,42.11539328,-74.36682876
196,196,EAH,White-tailed deer,Odocoileus virginianus,Olive,Rt 28,Rt 28 in Shokan,,4647562.7,562368.9,SNH,sparse residential,,0,1,0,Ulster,562368.9,4647562.7,10/7/2000,1655,41.97759512,-74.24717903
197,197,EAH,Common raccoon,Procyon lotor,Olive,Rt 28,Rt 28 west of Shokan,Digital camera: 0057.jpg,4647803.6,561979.5,Deciduous forest,,,0,1,0,Ulster,561979.5,4647803.6,10/7/2000,1700,41.97979538,-74.25185349
198,198,EAH,Eastern gray squirrel,Sciurus carolinensis,Olive,Rt 28,Rt 28 near village of Shokan,,4647120.8,565147.5,Suburban,,,0,1,0,Ulster,565147.5,4647120.8,10/7/2000,1705,41.97339062,-74.21369201
199,199,EAH,Virginia opossum,Didelphis virginiana,Hurley,Rt 28,"Rt 28, West Hurley near Rt 375",,4649898.2,573853.1,sparse residential,Deciduous wooldands,,0,1,0,Ulster,573853.1,4649898.2,10/7/2000,1720,41.99763507,-74.10828098
200,200,EAH,White-tailed deer,Odocoileus virginianus,Olive,Rt 28A,"Rt 28A, south side of Ashokan Reservoir near a dam, but",,4644313.7,566302.8,Old Pine Plantation,Oak Forest,,1,0,0,Ulster,566302.8,4644313.7,10/7/2000,1740,41.94801395,-74.2000655
201,201,EAH,Porcupine,Erethizon dorsatum,Denning,Rt 42,Rt 42 in Catskill Park,Digital Camera: 0059.jpg - 0062.jpg,4639681.7,545132.1,Hemlock-N Hdwd,,,0,1,0,Ulster,545132.1,4639681.7,10/7/2000,1900,41.90779187,-74.45582811
202,202,EAH,Virginia opossum,Didelphis virginiana,Lexington,Rt 23A,Rt 23A at Rt 42,plot on map,data_nad27.shp,data_nad27.shp,,,,0,1,0,Greene,552730.0938,4676621.962,10/8/2000,930,42.24000495,-74.36089272
203,203,EAH,Eastern gray squirrel,Sciurus carolinensis,Lexington,Rt 23A,"Rt 23A, ~.1mi west of Rt 42",,data_nad27.shp,data_nad27.shp,,,,0,1,0,Greene,552626.8933,4676709.142,10/8/2000,930,42.24079704,-74.36213556
204,204,EAH,Striped skunk,Mephitis mephitis,Lexington,Rt 23A,"Rt 23A, 1.5 mi west of Rt 42",,4678555.5,550583.9,Deciduous:SNH along road,Maple forest further in,,0,1,0,Greene,550583.9,4678555.5,10/8/2000,933,42.25755992,-74.38673522
205,205,EAH,Gray fox,Urocyon cinereoargenteu,Ashland,Rt 23,"Rt 23, just east of Mail Route Rd",Digital Camera: 0065.jpg,4683167.1,552003.4,Old field,SNH,,0,1,0,Greene,552003.4,4683167.1,10/8/2000,947,42.29899722,-74.36911246
206,206,EAH,Striped skunk,Mephitis mephitis,Ashland,Rt 23,Rt 23 at Ashland village line (east side),,4683638.9,555208,sparse residential,,,0,1,0,Greene,555208,4683638.9,10/8/2000,1000,42.3030256,-74.33019281
207,207,EAH,Virginia opossum,Didelphis virginiana,Ashland,Rt 23,Rt 23 near Ashland,Collected the jaw,4682898.4,556775.7,Old field,Succ Shrub,,0,1,0,Greene,556775.7,4682898.4,10/8/2000,1000,42.29624433,-74.3112468
208,208,EAH,Virginia opossum,Didelphis virginiana,Windham,Rt 23,Rt 23 at rt 296,Sighting was right on the edge of town,4684352.7,563220.1,sparse residential,,,0,1,0,Greene,563220.1,4684352.7,10/8/2000,1020,42.3088447,-74.23291645
209,209,EAH,Virginia opossum,Didelphis virginiana,Cairo,Rt 23,Rt 23 in Cairo at Co Rd 31,,4684430.1,578022.3,SNH,sparse residential,,0,1,0,Greene,578022.3,4684430.1,10/8/2000,1140,42.30819973,-74.05332445
210,210,EAH,Common raccoon,Procyon lotor,Cairo,Rt 23,"Rt 23, .4mi west of Co Rd 31 in Cairo","plot on map, .4 mi west of the opossum (#209)",data_nad27.shp,data_nad27.shp,SNH,,,0,1,0,Greene,577397.9664,4684709.822,10/8/2000,1142,42.3107809,-74.0608613
211,211,EAH,Common raccoon,Procyon lotor,Cairo,Rt 23,"Rt 23, .2mi east of Co Rd 31",plot on map,data_nad27.shp,data_nad27.shp,SNH,,,0,1,0,Greene,578307.997,4684311.199,10/8/2000,1143,42.30710036,-74.04987454
212,212,EAH,Virginia opossum,Didelphis virginiana,Durham,Rt 145,"Rt 145, 3.5mi north of Rt 23",,4689181,576843.9,Oak-Maple-Pine,,,0,1,0,Greene,576843.9,4689181,10/8/2000,1205,42.3510985,-74.06698851
213,213,EAH,Striped skunk,Mephitis mephitis,Durham,Rt 145,"Rt 145, ~9mi north of Rt 23",point taken .3mi n/w of sighting,4694282.7,569036,SNH,sparse residential,,0,1,0,Greene,569036,4694282.7,10/8/2000,1215,42.39777207,-74.16116767
214,214,EAH,Common raccoon,Procyon lotor,Durham,Rt 145,Rt 145 near Albany county border,,4694449.2,568137.6,Deciduous,,,0,1,0,Greene,568137.6,4694449.2,10/8/2000,1217,42.39935077,-74.17206299
215,215,EAH,Norway rat,Rattus norvegicus,Rensselaerv'le,Rt 145,Rt 145 near jct of Rt 81 in Cooksburg,,4696960,565408.4,"Rural:house,ag, woods",,,0,1,0,Albany,565408.4,4696960,10/8/2000,1230,42.42219559,-74.2049367
216,216,EAH,Virginia opossum,Didelphis virginiana,Durham,Rt 145,Rt 145 at East Durham,,4692252.5,573127.1,SNH,House with large lawn,,0,1,0,Greene,573127.1,4692252.5,10/8/2000,1250,42.3791157,-74.1117216
217,217,EAH,Virginia opossum,Didelphis virginiana,Cairo,Rt 32,Rt 32 in Cairo,point taken 1/2mi north of GPS point,4679909.9,584537.9,SNH near road,Maple further in,,0,1,0,Greene,584537.9,4679909.9,10/8/2000,1310,42.26681653,-73.97494008
218,218,EAH,Striped skunk,Mephitis mephitis,Cairo,Rt 32,Rt 32 in Cairo,point taken 1/2mi north of GPS point,4679909.9,584537.9,SNH near road,Maple further in,,0,1,0,Greene,584537.9,4679909.9,10/8/2000,1311,42.26681653,-73.97494008
219,219,EAH,Striped skunk,Mephitis mephitis,Catskill,Rt 32,Rt 32 just into town of Catskill near CoRd 46,,4678740.2,584347.9,Sugar maple forest,,,0,1,0,Greene,584347.9,4678740.2,10/8/2000,1315,42.25630417,-73.97741379
220,220,EAH,Virginia opossum,Didelphis virginiana,Catskill,Rt 32,Rt 32 in Catskill,,4677287.6,584197.1,SNH,old field,,0,1,0,Greene,584197.1,4677287.6,10/8/2000,1320,42.24324002,-73.97945261
221,221,EAH,Common raccoon,Procyon lotor,Catskill,Rt 32,Rt 32 in Catskill,,4674042.4,583710.5,deciduous forest,residential,,0,1,0,Greene,583710.5,4674042.4,10/8/2000,1330,42.21406966,-73.98581769
222,222,EAH,Common raccoon,Procyon lotor,Catskill,Rt 23,"Rt 23, ~1mi west of Rt 32",,4669813.7,581511.1,Residential,,,0,1,0,Greene,581511.1,4669813.7,10/8/2000,1340,42.17622261,-74.01305303
223,223,EAH,Virginia opossum,Didelphis virginiana,Catskill,Rt 32,Rt 32 at Rt 23A,plot on map,data_nad27.shp,data_nad27.shp,Sparse residential,,,0,1,0,Greene,583723.1665,4671672.834,10/8/2000,1340,42.19273051,-73.98600554
224,224,EAH,Virginia opossum,Didelphis virginiana,Saugerties,Rt 32,Rt 32 just north of jct with CoRd 36,point taken .4 mi north of sighting,4665353.8,582501.7,residential,,,0,1,0,Ulster,582501.7,4665353.8,10/8/2000,1530,42.13595718,-74.00169193
225,225,EAH,Norway rat,Rattus norvegicus,Saugerties,Rt 32,Rt 32 just north of jct with CoRd 36,Found in dirt parking lot of nursery/market,4665353.8,582501.7,residential,,,0,1,0,Ulster,582501.7,4665353.8,10/8/2000,1530,42.13595718,-74.00169193
226,226,EAH,Striped skunk,Mephitis mephitis,New Scotland,Rt 157,"Rt 157, .5mi west of jct with CoRd 311",plot on map,data_nad27.shp,data_nad27.shp,Oak-Maple,,,0,1,0,Albany,583278.6861,4720417.512,10/9/2000,1535,42.6317048,-73.98432994
227,227,EAH,Virginia opossum,Didelphis virginiana,New Scotland,Rt 85,"Rt 85, .4mi west of jct with Rt 157",,4717950.2,584371.6,"SNH, shrub",Sparse residential,,0,1,0,Albany,584371.6,4717950.2,10/9/2000,1535,42.6093696,-73.97136859
228,228,EAH,Virginia opossum,Didelphis virginiana,New Scotland,Rt 443,"Rt 443, ~50 ft east of Berne/New Scotland town line",plot on map,data_nad27.shp,data_nad27.shp,Oak forest,,,0,1,0,Albany,581432.3369,4716347.353,10/9/2000,1550,42.59525308,-74.00742695
229,229,EAH,White-tailed deer,Odocoileus virginianus,Berne,Rt 443,"Rt 443, east of jct CoRd 2",,4718462.6,575239.8,fields,SNH,,0,1,0,Albany,575239.8,4718462.6,10/9/2000,1551,42.61492894,-74.08261811
230,230,EAH,White-tailed deer,Odocoileus virginianus,Berne,CoRd 13,CoRd 13 just off CoRd 1 in Berne,,4718053.2,569313.9,Hayfield,SNH,,1,0,0,Albany,569313.9,4718053.2,10/9/2000,1605,42.61179815,-74.15491314
231,231,EAH,Common raccoon,Procyon lotor,Berne,CoRd 13,"CoRd 13, ~.5 mi from CoRd 1 in Berne",,4717316.9,568889.6,Hayfield,,,0,1,0,Albany,568889.6,4717316.9,10/9/2000,1608,42.605206,-74.16017481
232,232,EAH,Virginia opossum,Didelphis virginiana,Westerlo,Rt 85,"Rt 85, ~1mi south of CoRd 6",,4710109.7,572584.8,SNH,field/wetland,,0,1,0,Albany,572584.8,4710109.7,10/9/2000,1645,42.53996835,-74.11604915
233,233,EAH,Porcupine,Erethizon dorsatum,Westerlo,Rt 85,Rt 85 just east of jct with CoRd 408,"Digital Camera: 0080.jpg, 0079.jpg",4709759.4,574802.6,fields,SNH,,0,1,0,Albany,574802.6,4709759.4,10/9/2000,1645,42.53660251,-74.0890895
234,234,EAH,Porcupine,Erethizon dorsatum,Westerlo,Rt 85,"Rt 85, 2mi east of CoRd 1 in Snyders Corners",plot on map,data_nad27.shp,data_nad27.shp,fields,,,0,1,0,Albany,577996.6125,4711414.542,10/9/2000,1655,42.5511906,-74.04997347
235,235,EAH,Striped skunk,Mephitis mephitis,Berne,Rt 85,"Rt 85, ~.5mi north of CoRd 11",plot on map,data_nad27.shp,data_nad27.shp,,,,0,1,0,Albany,579841.3222,4715332.956,10/9/2000,1655,42.58628536,-74.02695907
236,236,EAH,Virginia opossum,Didelphis virginiana,Bethlehem,Rt 144,Rt 144 at Wemple Road,plot on map,data_nad27.shp,data_nad27.shp,Agriculture,sparse residential,,0,1,0,Albany,601141.5477,4714162.483,10/9/2000,1740,42.57324853,-73.76762917
237,237,WPB,Black bear,Ursus americanus,Shandaken,Rt 28,Rt 28 near Phoenicia,Mother and 3 cubs dumpster/plot on map,data_nad27.shp,data_nad27.shp,residential,,,1,0,0,Ulster,557262.4933,4658375.384,7/1/2000,1930,42.07536143,-74.3077555
238,238,WPB,Black bear,Ursus americanus,Hunter,Rt 23A,Rt 23A Tannersville - Quad W45,Mother and 4 cubs at a dumpster/plot on map,data_nad27.shp,data_nad27.shp,residential,,,1,0,0,Greene,569531.0832,4671598.674,7/1/2000,1930,42.19345316,-74.15787883
239,239,WPB,Black bear,Ursus americanus,Hunter,trail,Off trail near Hunter Mtn peak,plot on map,data_nad27.shp,data_nad27.shp,Forest,,,1,0,0,Greene,563823.6822,4669599.182,7/1/2000,1930,42.17593321,-74.22721661
240,240,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 4,"US rt 4, just south of Rt 151",,4718988.5,606373.1,Residential,Suburban,,0,1,0,Rensselaer,606373.1,4718988.5,3/16/2001,1540,42.61599595,-73.70299937
241,241,EAH,Eastern cottontail,Sylvilagus floridanus,,US 9,US Rt 9 in median,,4706031,609033,Open/commercial,,,0,1,0,Rensselaer,609033,4706031,3/16/2001,1600,42.49896314,-73.67305023
242,242,EAH,Eastern cottontail,Sylvilagus floridanus,,US 9,US Rt 9 south of Valatie/kinderhook,Dig camera- first 3 pictures,4693583,606034.8,Residential,Suburb/big lawns,,0,1,0,Columbia,606034.8,4693583,3/16/2001,1430,42.3873019,-73.71182813
243,243,EAH,Striped skunk,Mephitis mephitis,,US 9,US rt 9,,4692936,605097,"Houses, woods behind",Open fields,,0,1,0,Columbia,605097,4692936,3/16/2001,1635,42.38160386,-73.72333636
244,244,EAH,Virginia opossum,Didelphis virginiana,,US 9,US rt 9,,4689500,603422,Some houses,Some open fields,,0,1,0,Columbia,603422,4689500,3/16/2001,1640,42.35089114,-73.74429498
245,245,EAH,Striped skunk,Mephitis mephitis,,US 9,US Rt 9,,4687778,602798,sparse residential,open fields,,0,1,0,Columbia,602798,4687778,3/16/2001,1645,42.33546899,-73.75217625
246,246,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9,US Rt 9 just N of stockport creek,,4685794,602633,Deciduous forest,,,0,1,0,Columbia,602633,4685794,3/16/2001,1650,42.31762679,-73.75453114
247,247,EAH,Striped skunk,Mephitis mephitis,,US 9,US Rt 9,,4681597,602492,Sparse residential,Vacant/overgrowing lots,,0,1,0,Columbia,602492,4681597,3/16/2001,1700,42.27985527,-73.75698538
248,248,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 9,"City of Hudson, on Rt 9, across from jail",,4677016.2,600473.5,Urban,Suburban,,0,1,0,Columbia,600473.5,4677016.2,3/16/2001,1710,42.23887143,-73.78225416
249,249,EAH,Striped skunk,Mephitis mephitis,,US 9,"US rt 9, east of Hudson near strange footbridge thing",,4676383,600494,Deciduous woods,Open fields,,0,1,0,Columbia,600494,4676383,3/16/2001,1710,42.2331673,-73.78211539
250,250,EAH,Eastern cottontail,Sylvilagus floridanus,,US 9,US Rt 9 near Williams lumber,,4671936.7,601372.9,Open fields,SNH-looking woodlots,,0,1,0,Columbia,601372.9,4671936.7,3/16/2001,1720,42.19301808,-73.77224214
251,251,EAH,Common raccoon,Procyon lotor,,US 9,US rt 9,,4664870.7,599591.4,Old fields,Maybe Ag (covered in snow),,0,1,0,Columbia,599591.4,4664870.7,3/16/2001,1730,42.12962175,-73.79502173
252,252,EAH,Common raccoon,Procyon lotor,,US 9,US Rt 9 at Co Rd 8 (?),,4661058.6,597326.8,Decid woodlot,Open fields/vacant,,0,1,0,Columbia,597326.8,4661058.6,3/16/2001,1740,42.09557982,-73.82305127
253,253,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 20,US 20 near Co Rd --,,4702944.9,629817.1,Deciduous,Some houses/fields,,0,1,0,Columbia,629817.1,4702944.9,3/17/2001,835,42.46797336,-73.42088924
254,254,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 22,Rt 22 south of Rt 71,,4678358.4,623238.2,Old field,Scrubby SNH,,0,1,0,Columbia,623238.2,4678358.4,3/17/2001,915,42.24769496,-73.50614179
255,255,EAH,Striped skunk,Mephitis mephitis,,Rt 23,"Rt 23, 1.7mi west of Rt 22",,4670838.5,619181.4,Open fields,Deciduous woods beyond,,0,1,0,Columbia,619181.4,4670838.5,3/17/2001,930,42.18061968,-73.5568443
256,256,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 23,Rt 23 at Rt 22,Plot on map,4670829.775,622056.9976,Suburban,small town,,1,0,0,Columbia,622056.9976,4670829.775,3/17/2001,930,42.18009787,-73.52203689
257,257,EAH,Eastern gray squirrel,Sciurus carolinensis,,Taconic Pkwy,"Taconic parkway, 4.7 mi S of Rt 23",Plot on map,4668293.538,608548.5519,,,,0,1,0,Columbia,608548.5519,4668293.538,3/17/2001,945,42.15925207,-73.6860364
258,258,EAH,Eastern gray squirrel,Sciurus carolinensis,,Taconic Pkwy,"Taconic parkway, 6.7 mi S of Rt 23",Plot on map,4665360.973,607522.2936,,,,0,1,0,Columbia,607522.2936,4665360.973,3/17/2001,950,42.13298851,-73.69899682
259,259,EAH,Eastern gray squirrel,Sciurus carolinensis,,Taconic Pkwy,"Taconic parkway, 10 mi S of Rt 23",Plot on map,4660517.279,605657.2214,,,,0,1,0,Columbia,605657.2214,4660517.279,3/17/2001,1000,42.08962834,-73.72243468
260,260,EAH,Striped skunk,Mephitis mephitis,,Taconic Pkwy,"Taconic parkway, 5.3 mi S of US 44",Plot on map,4617398.142,601193.8208,,,,0,1,0,Dutchess,601193.8208,4617398.142,3/17/2001,1030,41.70193784,-73.7837823
261,261,EAH,Common raccoon,Procyon lotor,,Taconic Pkwy,"Taconic Parkway, 15.9 mi S of US 44",Plot on map,4601622.095,601535.4812,,,,0,1,0,Dutchess,601535.4812,4601622.095,3/17/2001,1040,41.55982776,-73.78235364
262,262,EAH,Common raccoon,Procyon lotor,,Richmond Pkwy,Richmond Pkwy at West Shore Exp exit,,4486643.1,566167.2,Deciduous woods,Suburban,,0,1,0,Richmond,566167.2,4486643.1,3/19/2001,1345,40.527885,-74.21879759
263,263,EAH,White-tailed deer,Odocoileus virginianus,,,In wetland/park area on Hudson River shore near Bear Mtn Park off US 9W,,4572800.4,585604.4,Wetlands,Deciduous beyond,,0,0,1,Rockland,585604.4,4572800.4,3/19/2001,1545,41.30212051,-73.97745394
264,264,EAH,Common raccoon,Procyon lotor,,US 9W,9W just north of Rt 218,,4580581.5,585776.7,Deciduous,,,0,1,0,Orange,585776.7,4580581.5,3/19/2001,1600,41.37218086,-73.97429719
265,265,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 207,Rt 207 heading toward Goshen,,4585139.8,557801.5,Deciduous,Residential,,1,0,0,Orange,557801.5,4585139.8,3/19/2001,1655,41.41573271,-74.30835565
266,266,EAH,Common muskrat,Ondatra zibethicus,,W Main St,West Main St at Clowes Ave near Goshen,,4583401.4,555794.4,Deciduous/wet looking?,Suburban,100 ft,0,1,0,Orange,555794.4,4583401.4,3/19/2001,1705,41.40021683,-74.332531
267,267,EAH,Common muskrat,Ondatra zibethicus,,US 6,US 6/Rt 17M,,4583253.7,554801.1,Deciduous forest,,,0,1,0,Orange,554801.1,4583253.7,3/19/2001,1715,41.3989548,-74.34442647
268,268,EAH,White-tailed deer,Odocoileus virginianus,,US 6,US 6/Rt 17M,,4583253.7,554801.1,Deciduous forest,,,0,1,0,Orange,554801.1,4583253.7,3/19/2001,1717,41.3989548,-74.34442647
269,269,EAH,Common muskrat,Ondatra zibethicus,,US 6,US 6/Rt 17 east of Goshen,,4580808.8,558836.1,Sparse residential,open fields,,0,1,0,Orange,558836.1,4580808.8,3/19/2001,1720,41.37664859,-74.29639749
270,270,EAH,Striped skunk,Mephitis mephitis,,US 6,US 6/Rt 17 east of Goshen,Dig Camera # 120.jpg,4580808.8,558836.1,Sparse residential,open fields,,0,1,0,Orange,558836.1,4580808.8,3/19/2001,1720,41.37664859,-74.29639749
271,271,EAH,Striped skunk,Mephitis mephitis,,Rt 208,Rt 208,,4580446.8,568406,Suburban,,,0,1,0,Orange,568406,4580446.8,3/19/2001,1740,41.37263155,-74.1820053
272,272,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 208,"Rt 208, Blooming Grove, Barnes Rd",,4584065.4,568674.5,Deciduous woods,suburban,,0,1,0,Orange,568674.5,4584065.4,3/19/2001,1750,41.40520033,-74.17838467
273,273,EAH,White-tailed deer,Odocoileus virginianus,,Rt 208,Rt 208 at Washingtonville village line,,4585926.1,569542.9,Open fields,Suburban,,0,1,0,Orange,569542.9,4585926.1,3/19/2001,1800,41.42188433,-74.16778238
274,274,EAH,Striped skunk,Mephitis mephitis,,Rt 300,Rt 300 N of Rt 32/94,Check X-Y values,4588916.5,577514.8,suburban,woodlands,,0,1,0,Orange,577514.8,4588916.5,3/19/2001,1820,41.44808743,-74.07201075
275,275,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 300,Rt 300 N of Rt 32/94,"Check X-Y values, sighting is ~.5 mi south",4588916.5,577514.8,suburban,woodlands,,0,1,0,Orange,577514.8,4588916.5,3/19/2001,1820,41.44808743,-74.07201075
276,276,EAH,Common muskrat,Ondatra zibethicus,,Rt 300,Rt 300 just S of Rt 52,Digital Camera-,4597215.9,577545.8,commercial,,,0,0,0,Orange,577545.8,4597215.9,3/20/2001,720,41.52283125,-74.07057204
277,277,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 52,Rt 52 at Lakeside Rd,,4599078.7,575243.6,Deciduous woods,,,1,0,0,Orange,575243.6,4599078.7,3/20/2001,730,41.53982783,-74.09792875
278,278,EAH,Virginia opossum,Didelphis virginiana,,Rt 52,Rt 52 at S Plank Rd,,4598947.9,574840.5,Deciduous woods,"Some houses, wetland area nearby",,0,1,0,Orange,574840.5,4598947.9,3/20/2001,735,41.53868762,-74.1027771
279,279,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 52,"Rt 52, west of Co Rd 23",,4600487.4,572182.5,Deciduous woods,Some houses/open fields,,0,1,0,Orange,572182.5,4600487.4,3/20/2001,740,41.55279709,-74.13445398
280,280,EAH,Common muskrat,Ondatra zibethicus,,Rt 52,Rt 52,,4600698.5,571276.4,Open/some scattered trees,Deciduous woods beyond,,0,1,0,Orange,571276.4,4600698.5,3/20/2001,740,41.5547796,-74.14529288
281,281,EAH,Striped skunk,Mephitis mephitis,,Rt 52,Rt 52 in Walden just east of river,,4601306.2,567215.6,"Urban, small town",,River nearby,0,1,0,Orange,567215.6,4601306.2,3/20/2001,755,41.56060445,-74.19391496
282,282,EAH,Common raccoon,Procyon lotor,,Rt 52,Rt 52,,4604009.2,565086.7,Open- ag,Deciduous forest beyond,,0,1,0,Orange,565086.7,4604009.2,3/20/2001,800,41.58512516,-74.2191504
283,283,EAH,Virginia opossum,Didelphis virginiana,,Rt 52,Rt 52,,4604382.6,563694.7,Open- ag,some deciduous,,0,1,0,Orange,563694.7,4604382.6,3/20/2001,805,41.58860039,-74.23580922
284,284,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 52,Rt 52,,4604253.5,564119,Ag,some deciduous,,0,1,0,Orange,564119,4604253.5,3/20/2001,810,41.58740371,-74.23073283
285,285,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 52,Rt 52 Ulster Co,,4609205.4,551937.7,Wooded residential,Deciduous forest,,0,1,0,Ulster,551937.7,4609205.4,3/20/2001,830,41.63288914,-74.37643922
286,286,EAH,White-tailed deer,Odocoileus virginianus,,US 209,US 209 S of Ellenville,,4614240.6,547855.8,Deciduous forest,,,0,1,0,Ulster,547855.8,4614240.6,3/20/2001,850,41.67849533,-74.42504059
287,287,EAH,White-tailed deer,Odocoileus virginianus,,US 209,US 209 S of Orange/Sullivan Co line,,4592882.6,535524.8,Deciduous forest,,,0,1,0,Orange,535524.8,4592882.6,3/20/2001,910,41.48676788,-74.57445061
288,288,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 209,US 209 S of Orange/Sullivan Co line,,4592882.6,535524.8,Deciduous forest,,,1,0,0,Orange,535524.8,4592882.6,3/20/2001,910,41.48676788,-74.57445061
289,289,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 209,US 209 Cuddeback,,4589644,533539.5,Mixed Forest,Suburban,,1,0,0,Orange,533539.5,4589644,3/20/2001,915,41.45768245,-74.5984119
290,290,EAH,White-tailed deer,Odocoileus virginianus,,US 209,"US 209, Godefroy",,4587277.4,531830,Deciduous Forest,Deciduous Forest,,0,1,0,Orange,531830,4587277.4,3/20/2001,925,41.43643531,-74.61900502
291,291,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 209,US 209,,4583725.9,529741.8,Suburban,some woods,,0,1,0,Orange,529741.8,4583725.9,3/20/2001,930,41.40452557,-74.64417429
292,292,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 42,Rt 42 N of Port Jervis,Point taken ~.4 mi S of sighting,4585842,523342.1,Hemlock-NH,Decid mixed w/Pines,,0,1,0,Orange,523342.1,4585842,3/20/2001,950,41.4237976,-74.72065655
293,293,EAH,White-tailed deer,Odocoileus virginianus,Deer Park,Rt 97,"Rt 97, Hawk's Nest, E of Orange/Sullivan line, near cliff face",,4586350.5,522240.3,Mixed Forest,,,0,1,0,Orange,522240.3,4586350.5,3/20/2001,1020,41.42840916,-74.73382334
294,294,EAH,Eastern cottontail,Sylvilagus floridanus,,US 6,"US 6, near underpass to I-84",,4580155.4,531829.8,Deciduous forest,open,,0,1,0,Orange,531829.8,4580155.4,3/20/2001,1040,41.37228458,-74.61938195
295,295,EAH,Eastern gray squirrel,Sciurus carolinensis,,Co Rd 55,"Co Rd 55, south of US 6",,4577033.4,531323.8,Deciduous forest,sparse residential,,1,0,0,Orange,531323.8,4577033.4,3/20/2001,1105,41.34418307,-74.62559373
296,296,EAH,Eastern gray squirrel,Sciurus carolinensis,,US 6,"US 6, just east of Co Rd 1",Also roadkill Turkey,4579698.2,534232.8,Open fields,some deciduous,,0,1,0,Orange,534232.8,4579698.2,3/20/2001,1100,41.36806776,-74.59067357
297,297,EAH,Virginia opossum,Didelphis virginiana,,US 6,US 6- near Slate Hill Orchards,,4571989.6,541629.6,Deciduous (forest/wetland?),Open- ag/old field,,0,1,0,Orange,541629.6,4571989.6,3/20/2001,1115,41.29828494,-74.50276019
298,298,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 284,Rt 284 just south of US 6,,4581355.1,543354.2,sparse residential,deciduous woods and some open bey,,0,1,0,Orange,543354.2,4581355.1,3/20/2001,1120,41.38255232,-74.48149303
299,299,EAH,Gray fox,Urocyon cinereoargenteu,,Rt 284,Rt 284,Dig Camera: 122/123.jpg,4580813.3,542889.6,Ag/old field,Deciduous patches,,0,1,0,Orange,542889.6,4580813.3,3/20/2001,1130,41.37769708,-74.48708768
300,300,EAH,Eastern gray squirrel,Sciurus carolinensis,,Rt 284,Rt 284 at Co Rd 93,,4580807,542892.6,Open-ag/pasture,Some deciduous beyond,,0,1,0,Orange,542892.6,4580807,3/20/2001,1140,41.37764017,-74.48705225
301,301,EAH,Virginia opossum,Didelphis virginiana,,Rt 284,Rt 284 at Co Rd 62,"Plot on map, no GPS",4578789.883,541589.4933,open- Ag,sparse residential/deciduous wood,,0,1,0,Orange,541589.4933,4578789.883,3/20/2001,1140,41.35953976,-74.50277374
302,302,EAH,Eastern cottontail,Sylvilagus floridanus,,Rt 284,Rt 284,,4575013.7,537153,open- Ag/old field,deciduous hedgerows,,0,1,0,Orange,537153,4575013.7,3/20/2001,1205,41.32574299,-74.55604401
303,303,EAH,Virginia opossum,Didelphis virginiana,,Co Rd 1,Co Rd 1 between 6 and 284,,4578910.2,534276.1,Deciduous woods,Wooded suburban,,0,1,0,Orange,534276.1,4578910.2,3/20/2001,1215,41.36096806,-74.59020038
304,304,EAH,White-tailed deer,Odocoileus virginianus,,Co Rd 1,Co Rd 1 E of Rt 284,,4574326.3,540827.9,Ag,Deciduous beyond,,0,1,0,Orange,540827.9,4574326.3,3/20/2001,1230,41.31937356,-74.51217881
